mapping,scheduling
[1, 2, 2, 1, 3, 3, 3, 1, 1][1, 3, 2, 7, 6, 5, 4, 8, 9]
[3, 3, 1, 1, 2, 3, 2, 3, 3][1, 5, 3, 4, 8, 2, 7, 6, 9]
[3, 1, 2, 2, 1, 3, 2, 2, 1][1, 4, 5, 2, 7, 6, 3, 8, 9]
[2, 1, 3, 2, 3, 2, 1, 3, 2][1, 3, 2, 6, 5, 7, 4, 8, 9]
[2, 2, 2, 3, 1, 2, 1, 2, 3][1, 3, 5, 2, 6, 7, 4, 8, 9]
[1, 3, 2, 2, 2, 3, 3, 2, 1][1, 2, 7, 4, 6, 5, 3, 8, 9]
[2, 3, 2, 1, 3, 1, 1, 2, 2][1, 2, 3, 7, 5, 6, 4, 8, 9]
[1, 2, 1, 1, 3, 1, 3, 2, 3][1, 5, 3, 2, 7, 6, 4, 8, 9]
[2, 1, 1, 2, 2, 3, 1, 2, 3][1, 3, 4, 8, 2, 6, 7, 9, 5]
[2, 1, 3, 1, 3, 2, 3, 2, 2][1, 3, 5, 4, 8, 2, 7, 6, 9]
[2, 2, 3, 1, 1, 2, 3, 1, 3][1, 5, 4, 2, 6, 7, 3, 8, 9]
[2, 3, 3, 1, 2, 1, 2, 3, 3][1, 3, 4, 8, 5, 2, 7, 6, 9]
[2, 3, 1, 2, 2, 1, 1, 2, 1][1, 4, 3, 8, 2, 6, 7, 9, 5]
[1, 3, 1, 1, 2, 3, 3, 3, 3][1, 4, 3, 8, 5, 2, 7, 6, 9]
[2, 3, 1, 1, 2, 2, 2, 1, 2][1, 4, 3, 8, 5, 2, 6, 7, 9]
[1, 3, 2, 2, 3, 2, 3, 1, 1][1, 5, 2, 6, 7, 3, 4, 8, 9]
[2, 3, 2, 1, 3, 1, 1, 2, 2][1, 5, 4, 2, 7, 6, 3, 8, 9]
[3, 1, 1, 3, 2, 1, 3, 2, 2][1, 2, 7, 6, 3, 5, 4, 8, 9]
[3, 2, 1, 2, 3, 3, 1, 1, 1][1, 5, 3, 4, 8, 2, 7, 6, 9]
[3, 1, 2, 3, 1, 2, 2, 2, 2][1, 4, 5, 3, 8, 2, 6, 7, 9]
[3, 3, 2, 1, 3, 1, 1, 1, 1][1, 4, 5, 2, 7, 6, 3, 8, 9]
[2, 3, 1, 1, 3, 2, 1, 3, 3][1, 2, 7, 6, 4, 3, 8, 9, 5]
[2, 2, 2, 3, 1, 2, 2, 1, 1][1, 5, 4, 3, 8, 2, 6, 7, 9]
[1, 2, 2, 2, 2, 1, 3, 2, 1][1, 2, 6, 7, 4, 5, 3, 8, 9]
[1, 1, 2, 1, 1, 2, 1, 2, 2][1, 4, 3, 2, 8, 7, 5, 6, 9]
[3, 1, 1, 1, 2, 3, 2, 3, 2][1, 5, 4, 3, 8, 2, 6, 7, 9]
