makespan,loadBalance,flowtime,communicationCost,waitingTime
220.0,1.047619048,4868.0,310.0,1115.0
209.0,1.01703163,5046.0,339.0,963.0
273.0,1.107505071,5917.0,302.0,1116.0
223.0,1.03962704,5467.0,320.0,1166.0
228.0,1.053117783,5545.0,369.0,951.0
213.0,1.028985507,4362.0,330.0,851.0
215.0,1.028708134,5188.0,316.0,1215.0
214.0,1.064676617,4741.0,297.0,731.0
233.0,1.006479482,6010.0,288.0,1288.0
211.0,1.073791349,4997.0,245.0,700.0
251.0,1.018255578,5911.0,388.0,1266.0
252.0,1.022312373,6400.0,322.0,1365.0
238.0,1.03030303,5819.0,375.0,1068.0
183.0,1.057803468,4490.0,356.0,952.0
209.0,1.01703163,5104.0,243.0,856.0
217.0,1.07960199,5377.0,312.0,1012.0
189.0,1.018867925,4530.0,334.0,932.0
206.0,1.012285012,4736.0,302.0,1013.0
242.0,1.018947368,5530.0,316.0,1260.0
211.0,1.024271845,4857.0,322.0,907.0
269.0,1.013182674,5880.0,309.0,1215.0
205.0,1.051282051,4806.0,369.0,766.0
189.0,1.055865922,4283.0,350.0,770.0
245.0,1.042553191,5833.0,312.0,1543.0
214.0,1.086294416,5036.0,299.0,971.0
208.0,1.002409639,5034.0,325.0,829.0
200.0,1.028277635,5387.0,274.0,1385.0
224.0,1.011286682,5233.0,345.0,1168.0
216.0,1.066666667,5145.0,374.0,1049.0
230.0,1.00877193,5409.0,274.0,879.0
265.0,1.039215686,6381.0,353.0,1383.0
212.0,1.03163017,4867.0,309.0,1039.0
241.0,1.019027484,5691.0,367.0,826.0
214.0,1.019047619,4975.0,366.0,1439.0
255.0,1.051546392,6743.0,279.0,1529.0
195.0,1.020942408,4684.0,314.0,713.0
252.0,1.016129032,6325.0,311.0,1533.0
228.0,1.083135392,5960.0,376.0,1192.0
252.0,1.058823529,5996.0,391.0,1007.0
260.0,1.031746032,6669.0,340.0,1721.0
254.0,1.020080321,6191.0,346.0,1126.0
217.0,1.066339066,5323.0,314.0,1318.0
223.0,1.02293578,5401.0,411.0,1162.0
252.0,1.070063694,6471.0,257.0,1005.0
218.0,1.040572792,5636.0,304.0,1217.0
195.0,1.020942408,4721.0,340.0,833.0
235.0,1.02173913,5817.0,389.0,818.0
232.0,1.0,5489.0,379.0,952.0
233.0,1.019693654,5078.0,399.0,1076.0
252.0,1.072340426,5439.0,344.0,935.0
310.0,1.080139373,7072.0,422.0,1675.0
232.0,1.054545455,5381.0,350.0,787.0
246.0,1.033613445,5284.0,314.0,1066.0
246.0,1.01863354,5359.0,351.0,848.0
206.0,1.043037975,4759.0,307.0,905.0
239.0,1.021367521,5222.0,349.0,1086.0
215.0,1.018957346,5636.0,310.0,803.0
206.0,1.009803922,5339.0,298.0,1308.0
200.0,1.023017903,4422.0,311.0,835.0
246.0,1.042372881,6051.0,298.0,789.0
236.0,1.048888889,5540.0,392.0,929.0
248.0,1.082969432,5679.0,384.0,1457.0
257.0,1.017821782,6214.0,371.0,1404.0
227.0,1.0657277,5443.0,331.0,966.0
216.0,1.0,4921.0,353.0,895.0
208.0,1.022113022,5003.0,363.0,1070.0
214.0,1.036319613,5744.0,315.0,1199.0
242.0,1.03640257,5474.0,333.0,993.0
198.0,1.053191489,4625.0,304.0,726.0
232.0,1.049773756,5216.0,354.0,1047.0
253.0,1.028455285,5552.0,289.0,1096.0
247.0,1.00610998,5826.0,297.0,1353.0
200.0,1.005025126,4797.0,333.0,882.0
238.0,1.004219409,5621.0,338.0,1126.0
259.0,1.019685039,6486.0,442.0,1442.0
254.0,1.049586777,6244.0,377.0,1398.0
182.0,1.086567164,4573.0,225.0,766.0
266.0,1.023076923,6217.0,412.0,1631.0
237.0,1.050997783,5566.0,311.0,1122.0
216.0,1.014084507,5286.0,360.0,797.0
214.0,1.04136253,5377.0,323.0,1262.0
280.0,1.037037037,6929.0,341.0,1764.0
181.0,1.034285714,4189.0,338.0,1006.0
232.0,1.045045045,5631.0,330.0,1512.0
214.0,1.049019608,5768.0,362.0,1269.0
214.0,1.056790123,5011.0,264.0,845.0
181.0,1.052325581,4004.0,282.0,805.0
