makespan,loadBalance,flowtime,communicationCost,waitingTime
23.0,1.568181818,96.0,22.0,25.0
26.0,1.695652174,127.0,25.0,34.0
31.0,1.453125,131.0,30.0,30.0
26.0,1.444444444,108.0,26.0,23.0
26.0,1.659574468,125.0,9.0,32.0
24.0,1.5,123.0,22.0,25.0
27.0,1.173913043,137.0,30.0,44.0
26.0,1.322033898,121.0,27.0,40.0
26.0,1.418181818,108.0,28.0,23.0
35.0,1.52173913,175.0,29.0,56.0
23.0,1.277777778,117.0,16.0,22.0
23.0,1.232142857,118.0,24.0,21.0
26.0,1.625,132.0,24.0,44.0
30.0,1.428571429,143.0,32.0,42.0
26.0,1.344827586,103.0,26.0,28.0
33.0,1.434782609,146.0,25.0,50.0
25.0,1.41509434,128.0,24.0,29.0
27.0,1.208955224,116.0,26.0,21.0
29.0,1.279411765,130.0,33.0,28.0
29.0,1.298507463,129.0,34.0,29.0
22.0,1.375,111.0,25.0,22.0
28.0,1.35483871,114.0,23.0,30.0
25.0,1.744186047,128.0,24.0,24.0
23.0,1.326923077,105.0,26.0,26.0
26.0,1.238095238,125.0,30.0,37.0
30.0,1.363636364,135.0,34.0,35.0
21.0,1.5,109.0,11.0,24.0
27.0,2.454545455,134.0,17.0,31.0
26.0,1.238095238,121.0,31.0,25.0
21.0,1.431818182,105.0,20.0,23.0
33.0,1.32,149.0,22.0,38.0
30.0,1.40625,123.0,25.0,31.0
27.0,1.528301887,131.0,14.0,32.0
31.0,1.690909091,133.0,24.0,41.0
30.0,1.304347826,123.0,31.0,24.0
30.0,1.730769231,153.0,25.0,48.0
31.0,1.17721519,140.0,30.0,29.0
23.0,1.352941176,103.0,26.0,24.0
21.0,1.5,96.0,23.0,14.0
23.0,1.533333333,115.0,19.0,27.0
26.0,1.258064516,112.0,31.0,30.0
26.0,1.392857143,113.0,25.0,22.0
31.0,1.223684211,127.0,26.0,34.0
28.0,1.615384615,147.0,25.0,38.0
33.0,1.677966102,140.0,18.0,29.0
33.0,1.375,146.0,21.0,51.0
24.0,1.285714286,111.0,25.0,27.0
35.0,1.590909091,160.0,34.0,50.0
30.0,1.525423729,123.0,34.0,32.0
28.0,1.423728814,127.0,27.0,34.0
25.0,1.315789474,105.0,19.0,23.0
22.0,1.294117647,98.0,14.0,16.0
30.0,1.666666667,144.0,27.0,42.0
29.0,1.359375,127.0,24.0,36.0
30.0,1.40625,125.0,33.0,35.0
26.0,1.5,123.0,21.0,30.0
23.0,1.408163265,117.0,21.0,37.0
23.0,1.301886792,106.0,30.0,27.0
24.0,1.531914894,125.0,15.0,27.0
23.0,1.4375,94.0,14.0,17.0
26.0,1.659574468,136.0,9.0,34.0
30.0,1.666666667,143.0,29.0,34.0
30.0,1.40625,123.0,31.0,31.0
24.0,1.5,103.0,27.0,20.0
27.0,1.306451613,121.0,21.0,26.0
28.0,1.253731343,120.0,20.0,25.0
29.0,1.526315789,129.0,27.0,39.0
28.0,1.615384615,115.0,21.0,38.0
23.0,1.38,99.0,15.0,17.0
23.0,1.568181818,113.0,9.0,23.0
26.0,1.2,126.0,24.0,34.0
34.0,1.47826087,146.0,23.0,39.0
34.0,1.342105263,151.0,25.0,56.0
34.0,1.47826087,155.0,22.0,58.0
28.0,1.473684211,140.0,31.0,45.0
29.0,1.673076923,152.0,20.0,41.0
31.0,1.273972603,139.0,35.0,41.0
28.0,1.183098592,136.0,31.0,41.0
25.0,1.5625,124.0,19.0,31.0
26.0,1.278688525,112.0,34.0,25.0
28.0,1.68,147.0,20.0,50.0
28.0,1.183098592,139.0,28.0,44.0
31.0,1.430769231,159.0,20.0,48.0
30.0,1.5,136.0,30.0,32.0
23.0,1.38,104.0,29.0,26.0
25.0,1.209677419,132.0,25.0,33.0
21.0,1.75,98.0,20.0,23.0
30.0,1.384615385,125.0,32.0,42.0
23.0,1.254545455,116.0,21.0,22.0
23.0,1.210526316,136.0,25.0,42.0
24.0,1.411764706,106.0,28.0,23.0
27.0,1.306451613,120.0,25.0,25.0
29.0,1.380952381,142.0,19.0,45.0
38.0,1.628571429,177.0,28.0,46.0
26.0,1.344827586,106.0,36.0,21.0
24.0,1.714285714,105.0,19.0,25.0
24.0,1.309090909,98.0,19.0,24.0
23.0,1.15,120.0,25.0,43.0
31.0,1.24,142.0,28.0,41.0
29.0,1.426229508,126.0,25.0,42.0
29.0,1.380952381,141.0,29.0,44.0
34.0,1.457142857,151.0,30.0,53.0
25.0,1.5625,111.0,15.0,32.0
35.0,1.544117647,149.0,35.0,41.0
24.0,1.125,126.0,25.0,39.0
23.0,1.5,105.0,23.0,21.0
23.0,1.277777778,98.0,19.0,16.0
26.0,1.258064516,116.0,34.0,24.0
23.0,1.326923077,107.0,27.0,30.0
23.0,1.352941176,120.0,20.0,29.0
33.0,1.62295082,163.0,29.0,39.0
26.0,1.322033898,109.0,24.0,23.0
27.0,1.6875,111.0,19.0,29.0
26.0,1.418181818,103.0,32.0,25.0
33.0,1.8,140.0,15.0,47.0
21.0,1.3125,88.0,22.0,15.0
23.0,1.301886792,119.0,19.0,26.0
30.0,1.5,128.0,29.0,29.0
27.0,1.285714286,119.0,19.0,24.0
26.0,1.322033898,108.0,30.0,27.0
26.0,1.322033898,128.0,21.0,29.0
24.0,1.309090909,115.0,25.0,26.0
38.0,1.252747253,173.0,35.0,45.0
29.0,2.416666667,141.0,2.0,38.0
31.0,1.207792208,156.0,33.0,54.0
37.0,1.37037037,191.0,21.0,84.0
28.0,1.37704918,117.0,26.0,28.0
19.0,1.266666667,103.0,23.0,22.0
27.0,1.472727273,119.0,14.0,24.0
23.0,1.352941176,98.0,22.0,21.0
23.0,1.5,116.0,23.0,29.0
29.0,1.298507463,131.0,33.0,33.0
31.0,1.603448276,145.0,24.0,30.0
19.0,1.295454545,94.0,15.0,17.0
23.0,1.277777778,99.0,32.0,21.0
38.0,1.225806452,177.0,35.0,54.0
27.0,1.327868852,122.0,22.0,30.0
23.0,1.326923077,98.0,15.0,21.0
26.0,1.471698113,131.0,25.0,37.0
28.0,2.545454545,135.0,17.0,35.0
26.0,1.322033898,112.0,33.0,23.0
28.0,1.647058824,139.0,18.0,42.0
24.0,1.5,99.0,14.0,16.0
34.0,1.2,157.0,25.0,46.0
22.0,1.736842105,100.0,14.0,23.0
29.0,1.705882353,129.0,28.0,33.0
27.0,2.25,134.0,18.0,27.0
30.0,1.343283582,129.0,33.0,29.0
27.0,1.396551724,113.0,34.0,26.0
23.0,1.254545455,111.0,29.0,23.0
33.0,1.455882353,145.0,14.0,40.0
33.0,1.151162791,156.0,31.0,43.0
32.0,1.297297297,146.0,30.0,43.0
29.0,1.318181818,140.0,20.0,43.0
35.0,1.193181818,159.0,26.0,46.0
31.0,1.660714286,141.0,29.0,43.0
26.0,1.733333333,121.0,20.0,45.0
34.0,1.2,152.0,30.0,45.0
29.0,1.242857143,136.0,34.0,38.0
23.0,1.352941176,97.0,31.0,20.0
23.0,1.232142857,110.0,31.0,31.0
28.0,1.423728814,117.0,34.0,38.0
27.0,1.35,136.0,21.0,33.0
